candidate_id,model,balance_strategy,rank_within_balance_strategy,trial,candidate_stage2_auc_mean,candidate_stage2_logloss_mean,candidate_stage2_f1_mean,candidate_stage2_score,params_json,calibration_method,calibration_accuracy,calibration_precision,calibration_recall,calibration_f1,calibration_auc,calibration_logloss,calibration_ece,test_accuracy_calibrated,test_precision_calibrated,test_recall_calibrated,test_f1_calibrated,test_auc_calibrated,test_logloss_calibrated,test_ece_calibrated,error,calibration_logloss_rank,calibration_ece_rank,test_logloss_rank,test_auc_rank,test_f1_rank,composite_rank
53,xgboost,base,1,49,0.8515529637170441,0.44247111841457093,0.6719047370179201,0.6424003838531337,"{""colsample_bytree"": 0.8196366132343432, ""gamma"": 0.9443535080039611, ""learning_rate"": 0.1219120687714584, ""max_depth"": 4, ""min_child_weight"": 3, ""reg_lambda"": 0.008769768098331663, ""subsample"": 0.8249147130554549}",isotonic,0.7801393420936591,0.6552780395852968,0.7297297297297297,0.6905027932960894,0.8553497538168361,0.44188988258707074,0.00952662894077975,0.7690815291679527,0.6399671631288847,0.7157660020986358,0.6757476317255897,0.8445720230787218,0.45192258718994166,0.013224778354983988,,75.0,26.0,16.0,41.0,53.0,42.2
94,lightgbm,smote,2,296,0.8503923736938034,0.44519915777809776,0.6806090964842332,0.6406247657305534,"{""bagging_fraction"": 0.6808049488078207, ""feature_fraction"": 0.5946746729365866, ""learning_rate"": 0.08221214728166787, ""min_child_samples"": 31, ""min_split_gain"": 1.0017456585650675, ""num_leaves"": 53, ""reg_lambda"": 27.196828200552794}",isotonic,0.777846370932181,0.6496062992125984,0.7360272894253477,0.6901217861975643,0.8541272732241335,0.4396217719705687,0.010110051360794476,0.7690374355130297,0.6428742514970059,0.7040923399790137,0.6720921497433329,0.8445267623122352,0.4529854836542787,0.012433623568210983,,29.0,33.0,39.0,45.0,72.0,43.6
90,lightgbm,base,2,195,0.8518898654617811,0.44217778514284173,0.6730210740725201,0.643102877441834,"{""bagging_fraction"": 0.6119120988195819, ""feature_fraction"": 0.7680171374179768, ""learning_rate"": 0.06204434106627703, ""min_child_samples"": 64, ""min_split_gain"": 0.34023449159754854, ""num_leaves"": 23, ""reg_lambda"": 0.6629425345928486}",venn_abers,0.7801393420936591,0.6674288617886179,0.6893203883495146,0.6781980121337292,0.8559709281622554,0.43858656095561155,0.013419206230078442,0.7690815291679527,0.6420664206642066,0.7075026232948584,0.673198127925117,0.8452164422998847,0.4511846850339754,0.012095351164474922,,11.0,133.0,7.0,15.0,62.0,45.6
89,lightgbm,base,1,18,0.8519439957556343,0.442057463142072,0.6726601272861686,0.6431804560368196,"{""bagging_fraction"": 0.5315013715586109, ""feature_fraction"": 0.8322440110749109, ""learning_rate"": 0.13634869019604123, ""min_child_samples"": 24, ""min_split_gain"": 0.2320418413477981, ""num_leaves"": 24, ""reg_lambda"": 7.427237240131544}",venn_abers,0.7801393420936591,0.6555712936732767,0.7286801364471267,0.6901951037653784,0.8555845807942832,0.43843254621851446,0.012372991059948601,0.7697429339917986,0.6458586349283458,0.6975341028331584,0.6707024845503846,0.845018963346359,0.4521382228412318,0.013243939438711936,,10.0,96.0,18.0,29.0,78.0,46.2
92,lightgbm,classweights,2,317,0.8509216626414943,0.4738393765135833,0.7005026451813229,0.624067837054942,"{""bagging_fraction"": 0.9449080677680503, ""feature_fraction"": 0.5994907230914669, ""learning_rate"": 0.10506492740498463, ""min_child_samples"": 54, ""min_split_gain"": 0.6017476598559538, ""num_leaves"": 58, ""reg_lambda"": 5.116552371054766}",isotonic,0.7790810477114384,0.6641528406234288,0.6932563631592757,0.6783926049557067,0.8546238013959814,0.441220049096229,0.011616673251073777,0.7727413025265665,0.6437049104026065,0.7256033578174187,0.68220495745468,0.8444893818851689,0.45268312449374093,0.01376724581264629,,63.0,73.0,29.0,46.0,34.0,49.0
53,xgboost,base,1,49,0.8515529637170441,0.44247111841457093,0.6719047370179201,0.6424003838531337,"{""colsample_bytree"": 0.8196366132343432, ""gamma"": 0.9443535080039611, ""learning_rate"": 0.1219120687714584, ""max_depth"": 4, ""min_child_weight"": 3, ""reg_lambda"": 0.008769768098331663, ""subsample"": 0.8249147130554549}",base,0.7795220037040304,0.666581956797967,0.6882707950669116,0.6772527756261296,0.8556051634468264,0.4368538661756458,0.011452618807643604,0.769301997442568,0.6518151815181518,0.6735309548793285,0.6624951619145917,0.8450687458333086,0.4507949393234848,0.010441040528056998,,4.0,68.0,4.0,25.0,152.0,50.6
89,lightgbm,base,1,18,0.8519439957556343,0.442057463142072,0.6726601272861686,0.6431804560368196,"{""bagging_fraction"": 0.5315013715586109, ""feature_fraction"": 0.8322440110749109, ""learning_rate"": 0.13634869019604123, ""min_child_samples"": 24, ""min_split_gain"": 0.2320418413477981, ""num_leaves"": 24, ""reg_lambda"": 7.427237240131544}",isotonic,0.7802275332921774,0.6557996692652964,0.728417738126476,0.6902038786673297,0.8554810924024113,0.43984458951639654,0.011682999813995452,0.7699193086114908,0.6471019809244314,0.6941238195173137,0.6697886343500823,0.8449572928294051,0.45219829593362004,0.013859984070575112,,34.0,81.0,20.0,33.0,88.0,51.2
92,lightgbm,classweights,2,317,0.8509216626414943,0.4738393765135833,0.7005026451813229,0.624067837054942,"{""bagging_fraction"": 0.9449080677680503, ""feature_fraction"": 0.5994907230914669, ""learning_rate"": 0.10506492740498463, ""min_child_samples"": 54, ""min_split_gain"": 0.6017476598559538, ""num_leaves"": 58, ""reg_lambda"": 5.116552371054766}",venn_abers,0.7790810477114384,0.6641528406234288,0.6932563631592757,0.6783926049557067,0.8546718682509465,0.4403009043773221,0.0132349099108542,0.7726972088716434,0.64356320502384,0.7258656873032528,0.6822412624052272,0.844540305692698,0.4521573214597731,0.012975029990999828,,41.0,123.0,19.0,44.0,33.0,52.0
65,catboost,base,1,33,0.8517954470282186,0.4427417368278805,0.6732700546781191,0.6426490609799973,"{""depth"": 6, ""l2_leaf_reg"": 7.533217761585923, ""learning_rate"": 0.0729869646899148, ""random_strength"": 0.1379201243729711}",isotonic,0.7810212540788429,0.6691288843606724,0.6893203883495146,0.6790745767093188,0.8550218953412726,0.4386806546939381,0.010845385690923023,0.7681114687596455,0.6488357457520453,0.6761542497376705,0.6622133727278566,0.8451061916031565,0.4523586955179771,0.0139663892472037,,14.0,49.0,22.0,22.0,165.0,54.4
65,catboost,base,1,33,0.8517954470282186,0.4427417368278805,0.6732700546781191,0.6426490609799973,"{""depth"": 6, ""l2_leaf_reg"": 7.533217761585923, ""learning_rate"": 0.0729869646899148, ""random_strength"": 0.1379201243729711}",venn_abers,0.7812858276743981,0.669209255021612,0.6906323799527683,0.6797520661157025,0.8549938708660065,0.4391282699814107,0.01223917897610991,0.7684201243441069,0.6476961394769614,0.6821878279118573,0.6644946978408075,0.8452025678493303,0.45223530189621675,0.012558927024541706,,20.0,94.0,21.0,18.0,133.0,57.2
