trial,balance_strategy,params,auc_mean,auc_std,logloss_mean,logloss_std,f1_mean,f1_std,stage_score,rank_within_balance_strategy,model,error,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,metric_error
156,base,"{'max_depth': 9, 'max_features': 0.5388091141240144, 'min_samples_leaf': 3, 'min_samples_split': 25, '__balance_strategy': 'base'}",0.8499886142565929,0.003139867988707956,0.4447227934544402,0.004017393918279873,0.6714990888733409,0.00370015656189956,0.639170180891685,1,random_forest,,0.7760507487027005,0.0026545487244889793,0.6623826070696189,0.004343278553833138,0.680889457228127,0.00462036222116815,
246,base,"{'max_depth': 11, 'max_features': 0.36023049130450463, 'min_samples_leaf': 15, 'min_samples_split': 15, '__balance_strategy': 'base'}",0.8500068130826971,0.003351030815825831,0.4446933499439339,0.004258337974758491,0.6711572347718692,0.003664958984355527,0.6391423350374373,2,random_forest,,0.7759468134209532,0.0029885518232591634,0.6624360535588697,0.005191908209908078,0.680130518613031,0.003456508853906389,
312,classweights,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 12, 'min_samples_split': 8, '__balance_strategy': 'classweights'}",0.8474388491615429,0.0036692770971722736,0.4627137898759622,0.004802808539422941,0.6941958273977965,0.004039422799080006,0.6273890503323918,1,random_forest,,0.7639750258286268,0.004091715761821488,0.6149876675947227,0.005606602635129997,0.796863142843301,0.003510372442108996,
313,classweights,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, '__balance_strategy': 'classweights'}",0.8450958141464421,0.0038331359403398855,0.45867390847256856,0.005036158935908823,0.6881068547612491,0.004567597769776594,0.6269477264540964,2,random_forest,,0.7675561800958008,0.004137402802771948,0.6268167618725561,0.005879737616639607,0.7627120475941133,0.004210523469527734,
302,smote,"{'max_depth': 12, 'max_features': 0.7, 'min_samples_leaf': 7, 'min_samples_split': 3, '__balance_strategy': 'smote'}",0.8459160231820898,0.0034822222574169568,0.46274571136234655,0.004820578719235702,0.6948927304234337,0.0028932099511345764,0.6259574121047067,1,random_forest,,0.7604505400110089,0.002918814627150241,0.6076205537916978,0.0037610353216373806,0.8114512645469043,0.001661491596439924,
301,smote,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 12, 'min_samples_split': 19, '__balance_strategy': 'smote'}",0.8450670663972382,0.004136752050776593,0.46156806407595535,0.005392546301409079,0.692305025420525,0.004650913353612573,0.6255004868285812,2,random_forest,,0.763587639015341,0.004427370587274422,0.6154597737098287,0.005872390967688027,0.7911011850840151,0.003162866548805419,
321,smote_classweights,"{'max_depth': 16, 'max_features': 0.5, 'min_samples_leaf': 5, 'min_samples_split': 3, '__balance_strategy': 'smote_classweights'}",0.8443132376829139,0.003960993679591664,0.4618964483074133,0.005363899883032855,0.6923245506632146,0.0033294785474342354,0.6245290787855666,1,random_forest,,0.7636821046452277,0.003374527797769535,0.6156243228653063,0.004605194952174063,0.790876183232899,0.0018178222105783568,
323,smote_classweights,"{'max_depth': 16, 'max_features': 0.3, 'min_samples_leaf': 4, 'min_samples_split': 17, '__balance_strategy': 'smote_classweights'}",0.8445944889538133,0.0036626554067997,0.46310378539816127,0.005013386906141467,0.6929191931736559,0.00412077981303396,0.624076317642686,2,random_forest,,0.762945083735497,0.003730335941518856,0.6137390100661918,0.004779305071222286,0.7955703575313308,0.0036135443475912156,
308,adasyn,"{'colsample_bytree': np.float64(0.8722509963750862), 'gamma': np.float64(2.694105254678789), 'learning_rate': np.float64(0.06082721491410968), 'max_depth': 7, 'min_child_weight': 4, 'reg_lambda': np.float64(0.009655567957575203), 'subsample': np.float64(0.9368152013184301), '__balance_strategy': 'adasyn'}",0.8491134774569096,0.003179785838771066,0.44930454347573145,0.003930309862500694,0.688659268128657,0.0048445431098952906,0.6376615917540075,1,xgboost,,0.7714018674832744,0.003739372111208736,0.6351212642277514,0.004910226575236541,0.7520592279390815,0.004981925097467898,
305,adasyn,"{'colsample_bytree': np.float64(0.7169170343349744), 'gamma': np.float64(1.994652679870211), 'learning_rate': np.float64(0.15403082131507395), 'max_depth': 5, 'min_child_weight': 9, 'reg_lambda': np.float64(0.09797817822208854), 'subsample': np.float64(0.8785220855455338), '__balance_strategy': 'adasyn'}",0.8486971500117301,0.003023592286442633,0.44790681945303773,0.0038529293894021474,0.6837033241732048,0.003837831413492509,0.6374896368184741,2,xgboost,,0.7737168703155558,0.003210461782727159,0.6448951315240333,0.004826026464633512,0.7274926095199414,0.00319984857644902,
334,adasyn_classweights,"{'colsample_bytree': np.float64(0.934765720282096), 'gamma': np.float64(0.5978392297919367), 'learning_rate': np.float64(0.1011067723553784), 'max_depth': 5, 'min_child_weight': 3, 'reg_lambda': np.float64(0.007804884053566514), 'subsample': np.float64(0.7106386166075344), '__balance_strategy': 'adasyn_classweights'}",0.8491069727502071,0.0031104715129485695,0.45060806170527407,0.0038118828901342267,0.6916960252593435,0.004757204676916159,0.6372039721119667,1,xgboost,,0.7709483211403838,0.0039238868764272464,0.631685393623108,0.005251989186937826,0.7643143082215814,0.0043419412908001125,
332,adasyn_classweights,"{'colsample_bytree': np.float64(0.8085011789049426), 'gamma': np.float64(0.6886404315809816), 'learning_rate': np.float64(0.1374159959186408), 'max_depth': 4, 'min_child_weight': 11, 'reg_lambda': np.float64(8.941983067693167), 'subsample': np.float64(0.8958259627654324), '__balance_strategy': 'adasyn_classweights'}",0.849217734177181,0.0030094367864118366,0.4506166908893041,0.00387816230647822,0.6906599548298278,0.004052013387900469,0.6371570086936923,2,xgboost,,0.7710900439597771,0.0037402002658689054,0.6328428105106149,0.005461078646112081,0.7601260977402542,0.0030024239677111254,
49,base,"{'colsample_bytree': 0.8196366132343432, 'gamma': 0.9443535080039611, 'learning_rate': 0.1219120687714584, 'max_depth': 4, 'min_child_weight': 3, 'reg_lambda': 0.008769768098331663, 'subsample': 0.8249147130554549, '__balance_strategy': 'base'}",0.8515529637170441,0.0027083618188396474,0.44247111841457093,0.003654471772847023,0.6719047370179201,0.004087339262474482,0.6424003838531337,1,xgboost,,0.7764664860797575,0.002842348295529898,0.6631954285583233,0.004919729711008717,0.6808893719013952,0.006191347987236669,
108,base,"{'colsample_bytree': 0.7163700117138441, 'gamma': 1.773444122640711, 'learning_rate': 0.11829732745654534, 'max_depth': 4, 'min_child_weight': 2, 'reg_lambda': 0.01208092619163048, 'subsample': 0.9651504321266501, '__balance_strategy': 'base'}",0.8514630371684633,0.00295557709702529,0.4425232760334628,0.0039041508519049796,0.6726966768854351,0.00399849068630725,0.6423753836059652,2,xgboost,,0.7769294838605493,0.0031322111917856475,0.6637698494852264,0.005559192221558229,0.6819012758337347,0.00484146238343321,
