rank,experiment,rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
86,C · LogReg / CatBoost,48,smotenc,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075
87,C · LogReg / CatBoost,49,smotecw,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075
88,C · LogReg / CatBoost,50,smotencw,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075
89,A · KNN / RF,17,smote,randomforest,platt,0.8423,0.1486,0.4438,0.2226,0.8347,0.3297,0.0281,0.658275
90,A · KNN / RF,18,smotenc,randomforest,platt,0.8423,0.1486,0.4438,0.2226,0.8347,0.3297,0.0281,0.658275
91,A · KNN / RF,19,smotecw,randomforest,platt,0.842,0.1484,0.4414,0.2221,0.8346,0.3296,0.0287,0.658025
92,A · KNN / RF,20,smotencw,randomforest,platt,0.842,0.1484,0.4414,0.2221,0.8346,0.3296,0.0287,0.658025
93,B · XGBoost / AdaBoost,23,cw,xgboost,venn_abers,0.8484,0.0979,0.5073,0.1641,0.8469,0.314,0.0035,0.6572
94,C · LogReg / CatBoost,51,smote,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572
95,C · LogReg / CatBoost,52,smotenc,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572
96,C · LogReg / CatBoost,53,smotecw,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572
97,C · LogReg / CatBoost,54,smotencw,catboost,platt,0.8469,0.1196,0.4854,0.192,0.8375,0.3233,0.0144,0.6572
98,B · XGBoost / AdaBoost,24,cw,xgboost,isotonic,0.8483,0.0972,0.5057,0.1631,0.8469,0.3136,0.0039,0.657
99,C · LogReg / CatBoost,55,cw,lightgbm,platt,0.8499,0.0822,0.5408,0.1427,0.8522,0.3126,0.0067,0.6532
100,A · KNN / RF,21,base,knn,platt,0.8436,0.1451,0.4553,0.2201,0.8232,0.3458,0.0381,0.6512
101,A · KNN / RF,22,cw,knn,platt,0.8436,0.1451,0.4553,0.2201,0.8232,0.3458,0.0381,0.6512
102,A · KNN / RF,23,base,knn,isotonic,0.8466,0.0896,0.4769,0.1509,0.8232,0.3308,0.004,0.65035
103,A · KNN / RF,24,cw,knn,isotonic,0.8466,0.0896,0.4769,0.1509,0.8232,0.3308,0.004,0.65035
104,A · KNN / RF,25,smotecw,randomforest,isotonic,0.8464,0.0679,0.4636,0.1184,0.8341,0.3198,0.0052,0.647325
105,A · KNN / RF,26,smotencw,randomforest,isotonic,0.8464,0.0679,0.4636,0.1184,0.8341,0.3198,0.0052,0.647325
