score,label
0.07243588,0
0.07442469,0
0.13245426,0
0.0068161613,0
0.09256172,0
0.65279126,0
0.10515109,0
0.23004463,1
0.005308248,0
0.008607039,0
0.549401,0
0.00295025,0
0.204056,0
0.0014047734,0
0.3989248,0
0.45932835,0
0.608866,0
0.7785446,1
0.00661242,0
0.80208576,1
0.018673236,0
0.15597308,0
0.16246922,0
0.0025002537,0
0.059073754,0
0.6727588,0
0.5767642,0
0.73296136,0
0.49080405,0
0.7660355,0
0.0030047442,0
0.5894802,0
0.42421594,0
0.7553213,0
0.023106141,0
0.7298511,0
0.8185389,1
0.005129089,0
0.017266557,0
0.45344645,0
0.029246189,0
0.18496315,0
0.10584393,0
0.021635486,0
0.0039446796,0
0.46992558,0
0.61388266,1
0.87036777,0
0.52776283,0
0.62677145,1
0.7679177,1
0.3744267,0
0.65781003,0
0.02776222,0
0.018980334,0
0.016872086,0
0.5861566,0
0.6754401,1
0.013803982,0
0.37117603,0
0.15172829,0
0.0806997,0
0.08224605,0
0.45862353,0
0.07866429,0
0.003878339,0
0.004497758,0
0.007758935,0
0.75575787,1
0.5162517,0
0.12768412,0
0.0041952045,0
0.006431039,0
0.0076245177,0
0.6383661,0
0.0053632935,0
0.009737856,0
0.11823589,0
0.13281575,0
0.7398158,0
0.0020212529,0
0.14449506,0
0.78128785,0
0.67615485,0
0.6734824,1
0.40395117,0
0.7920194,0
0.04950723,0
0.65942204,0
0.01623023,0
0.08007171,0
0.59947866,1
0.4823175,1
0.038314365,0
0.7332676,1
0.35361153,0
0.130809,0
0.04951553,0
0.00894888,0
0.56931823,0
0.33373117,0
0.0026414806,0
0.71173024,0
0.59762794,0
0.007056107,0
0.55403733,0
0.80200577,0
0.054725345,0
0.49671957,1
0.72367567,0
0.021554397,0
0.6722765,0
0.632879,0
0.7954432,0
0.86436135,0
0.031728994,0
0.0040808152,0
0.030010171,0
0.78057337,0
0.3607374,1
0.79439884,0
0.31179553,0
0.053565197,0
0.6704006,0
0.063225426,0
0.0031528417,0
0.2862988,0
0.45802006,1
0.025134651,0
0.006394502,0
0.49597642,0
0.0040317844,0
0.045217033,0
0.3017527,0
0.035901494,0
0.50681037,0
0.38322848,0
0.27359405,0
0.5050948,0
0.015146014,0
0.0030713622,0
0.025867265,0
0.010839324,0
0.25636184,0
0.033143867,0
0.052297782,0
0.2600056,0
0.012141433,0
0.098903015,0
0.3422897,0
0.0022510344,0
0.013523864,0
0.4262006,0
0.37409508,1
0.5367916,0
0.34857878,1
0.020607702,0
0.036611892,0
0.051118795,0
0.033298742,0
0.16115116,0
0.0057995315,0
0.0029173389,0
0.34997037,0
0.13133101,0
0.4257575,0
0.46252343,1
0.0037916666,0
0.30631477,0
0.019481365,0
0.0036642586,0
0.13554412,0
0.028917609,0
0.3724221,0
0.77921474,0
0.002373131,0
0.074294455,0
0.17828493,0
0.061379243,0
0.6533993,1
0.0016249346,0
0.16051315,0
0.11477129,0
0.011687571,1
0.009106126,0
0.00391726,0
0.05768771,0
0.741048,1
0.0037110217,0
0.566015,0
0.8073299,0
0.40999675,0
0.47699,1
0.7712219,0
0.7737779,0
0.84025747,1
0.020839654,0
0.0056387954,0
0.0026681952,0
0.5295469,0
0.08928089,0
0.00437988,0
0.28214395,0
0.82940924,0
0.04349028,0
0.042395562,0
0.004825926,0
0.7979045,1
0.40822098,0
0.3236661,0
0.3306088,0
0.005502793,0
0.3419793,0
0.8214074,0
0.034057975,0
0.056429584,0
0.5684941,0
0.0047633583,0
0.007010936,0
0.21078211,0
0.847567,1
0.80912006,0
0.0029851457,0
0.008770599,0
0.07077779,0
0.004575221,0
0.10583013,0
0.11642267,0
0.06468909,0
0.15058286,0
0.28615096,0
0.592984,0
0.4677476,0
0.004963538,0
0.42512485,0
0.35427746,0
0.5366358,1
0.8155472,0
0.008379653,0
0.47001386,0
0.8324958,0
0.28874266,1
0.02084559,0
0.122942954,0
0.4382109,1
0.34414303,0
0.13431148,0
0.050130628,0
0.7695644,0
0.79316866,0
0.0017461493,0
0.5655143,0
0.13731724,0
0.37810326,0
0.14017974,0
0.7159199,1
0.0067068264,0
0.70516515,1
0.14242823,0
0.009976682,0
0.0049693016,0
0.6405399,0
0.3391001,1
0.69750196,0
0.0064348676,0
0.12542887,0
0.03525115,0
0.002597515,0
0.68093616,0
0.08342703,0
0.0131902965,0
0.006541316,0
0.002060594,0
0.5885619,0
0.71013224,0
0.39096716,1
0.4427394,0
0.034165744,0
0.0045368075,0
0.63969666,0
0.6611139,1
0.01115911,0
0.17740746,0
0.002351061,0
0.74040943,1
0.0033059886,0
0.69663197,0
0.016942568,0
0.5903838,1
0.028473245,0
0.5314518,0
0.015214305,0
0.0040739896,0
0.2889703,0
0.38661554,0
0.19952251,0
0.039181154,0
0.04609335,0
0.0027366155,0
0.02000038,0
0.42134136,0
0.008317564,0
0.78905267,1
0.6517006,1
0.65912503,0
0.5072567,0
0.59701186,0
0.040352713,0
0.01961602,0
0.5606603,1
0.034315478,0
0.2769489,0
0.4911578,0
0.73731256,1
0.016443817,0
0.0050617796,0
0.7568938,0
0.19061351,0
0.64881325,1
0.81982565,0
0.3071938,0
0.3332021,0
0.005297272,0
0.0192814,0
0.6883703,0
0.2569483,0
0.35665196,0
0.3898081,1
0.21022706,0
0.069792435,0
0.39329514,0
0.009338118,0
0.39475816,0
0.021587886,0
0.49530947,1
0.83578736,0
0.45182157,0
0.004708321,0
0.004583046,0
0.1393053,0
0.84440905,0
0.23143615,1
0.0431722,0
0.016979022,0
0.011466277,0
0.6447198,0
0.688579,1
0.004759905,0
0.6102951,1
0.5069321,0
0.6589063,1
0.20767331,0
0.4186315,0
0.031213831,0
0.40051186,0
0.007586034,0
0.5996914,1
0.0055773887,0
0.6080356,0
0.027422596,0
0.008737769,0
0.14029217,0
0.38671643,1
0.010012678,0
0.8213128,0
0.0063447366,0
0.0054181763,0
0.5435583,0
0.013666055,0
0.11302228,0
0.8272146,1
