strategy,model,threshold,cal_accuracy,cal_recall,cal_f1,test_accuracy,test_recall,test_f1,test_precision,test_auc,test_min_acc_rec_f1,meets_0_90_all,n_features,blend_members,blend_weights
S8_mutual_info_k20,LGBM_bal,0.515,0.6813985064494229,0.7128502688932918,0.6821967901401774,0.6786150712830957,0.7091706764789131,0.6791813499593385,0.6516254876462939,0.7466669205114675,0.6786150712830957,False,20,,
S8_mutual_info_k20,CAT_bal,0.52,0.6834351663272233,0.714973110670818,0.68422834698991,0.6803801765105227,0.7104443815454288,0.6807702739354489,0.6534756573808904,0.7519388658499906,0.6803801765105227,False,20,,
S8_mutual_info_k25,LR_bal,0.49,0.6822131704005431,0.7254457967732805,0.6865331815442309,0.6783435166327223,0.7207755448627229,0.6825247922808898,0.6481292949860016,0.7485530292376028,0.6783435166327223,False,25,,
S8_mutual_info_k25,RF_bal,0.49,0.6773930753564155,0.7264364562694594,0.6835797043547742,0.6804480651731161,0.7356354373054061,0.6883400648877707,0.6467587408236904,0.7486829461941599,0.6804480651731161,False,25,,
S8_mutual_info_k25,XGB_bal,0.515,0.6841140529531569,0.7158222473818284,0.6849482023156612,0.6817379497623897,0.7172374752335126,0.6837560712358338,0.6532611497808714,0.7522870314753765,0.6817379497623897,False,25,,
S8_mutual_info_k25,LGBM_bal,0.51,0.681805838424983,0.7148315878856496,0.683075258638177,0.6795655125594026,0.7153976790263232,0.681726230613621,0.6510819165378671,0.7502655952791071,0.6795655125594026,False,25,,
S8_mutual_info_k25,CAT_bal,0.52,0.6832993890020367,0.7124257005377865,0.6833638770107922,0.6835030549898167,0.7165298613076705,0.6847443873410873,0.6556591556591557,0.7534647414742124,0.6835030549898167,False,25,,
S8_mutual_info_k30,LR_bal,0.48,0.6908350305498981,0.7537503538069629,0.7005129554123373,0.6860828241683639,0.7452589866968582,0.6949063077329111,0.6509270704573548,0.7568308749535397,0.6860828241683639,False,30,,
S8_mutual_info_k30,RF_bal,0.495,0.686897488119484,0.7454005094820266,0.6954971609665919,0.688255261371351,0.7451174639116898,0.6963364634307632,0.6535501489572989,0.7582297974008262,0.688255261371351,False,30,,
S8_mutual_info_k30,XGB_bal,0.5,0.693143245078072,0.761675629776394,0.7042658989793248,0.691581805838425,0.7579960373620153,0.7021960013110455,0.65404811332275,0.7636399047276883,0.691581805838425,False,30,,
S8_mutual_info_k30,LGBM_bal,0.51,0.6909708078750849,0.7371921879422587,0.6959251837007348,0.6896809232858113,0.7330880271723748,0.6938584153774027,0.6586141131595677,0.7626556898364187,0.6896809232858113,False,30,,
S8_mutual_info_k30,CAT_bal,0.525,0.6926001357773252,0.72459666006227,0.6933911159263272,0.693346911065852,0.7234644777809227,0.6935757411301812,0.6660586319218241,0.7647923810514287,0.693346911065852,False,30,,
S8_mutual_info_k35,LR_bal,0.475,0.6908350305498981,0.7613925842060572,0.7026250489747943,0.6870332654446707,0.7526181715256156,0.6976256067165159,0.6501222493887531,0.7568317797834553,0.6870332654446707,False,35,,
S8_mutual_info_k35,RF_bal,0.49,0.6869653767820774,0.7558731955844891,0.6984895050022887,0.6877121520706042,0.7561562411548259,0.6990710454010205,0.65,0.7583594096697586,0.6877121520706042,False,35,,
S8_mutual_info_k35,XGB_bal,0.495,0.6926001357773252,0.7691763373903199,0.7059358358228341,0.6930753564154786,0.7673365411831304,0.7057598438008461,0.6533317267140619,0.7643980967992214,0.6930753564154786,False,35,,
S8_mutual_info_k35,LGBM_bal,0.49,0.6910386965376782,0.7659213133314464,0.704,0.6883910386965377,0.7604019247098783,0.7007042253521126,0.6496977025392987,0.7614819777085363,0.6883910386965377,False,35,,
S8_mutual_info_k35,CAT_bal,0.52,0.6919891378139851,0.7337956410982168,0.6956463406453344,0.6930074677528852,0.7336541183130484,0.6963062458025521,0.6625766871165644,0.765042446494637,0.6930074677528852,False,35,,
S8_mutual_info_k37,LR_bal,0.475,0.6908350305498981,0.7613925842060572,0.7026250489747943,0.6868295994568907,0.7523351259552788,0.6974089865529682,0.6499572074825773,0.7568393138774467,0.6868295994568907,False,37,,
S8_mutual_info_k37,RF_bal,0.49,0.686490156143924,0.7555901500141523,0.6980910041841004,0.6887304820095044,0.7555901500141523,0.6996003406931796,0.6513358545809442,0.7582974749853307,0.6887304820095044,False,37,,
