rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
126,smotenc,randomforest,isotonic,0.7666,0.6441,0.6556,0.6498,0.8391,0.4613,0.0094,0.7053499999999999
127,base,logreg,base,0.7682,0.6312,0.663,0.6467,0.8406,0.4593,0.0173,0.6997
128,base,logreg,platt,0.768,0.6096,0.6704,0.6386,0.8406,0.4685,0.0451,0.6888000000000001
129,base,knn,base,0.7534,0.613,0.6389,0.6257,0.8195,0.5606,0.0204,0.6832
130,base,knn,platt,0.7534,0.613,0.6389,0.6257,0.8195,0.4876,0.0394,0.6832
131,cw,knn,base,0.7534,0.613,0.6389,0.6257,0.8195,0.5606,0.0204,0.6832
132,cw,knn,platt,0.7534,0.613,0.6389,0.6257,0.8195,0.4876,0.0394,0.6832
133,smote,knn,venn_abers,0.7374,0.6258,0.6059,0.6157,0.8039,0.4958,0.0128,0.6816
134,smotenc,knn,venn_abers,0.7374,0.6258,0.6059,0.6157,0.8039,0.4958,0.0128,0.6816
135,smotecw,knn,venn_abers,0.7374,0.6258,0.6059,0.6157,0.8039,0.4958,0.0128,0.6816
136,smotencw,knn,venn_abers,0.7374,0.6258,0.6059,0.6157,0.8039,0.4958,0.0128,0.6816
137,smote,knn,isotonic,0.7373,0.6249,0.6059,0.6153,0.8039,0.496,0.0138,0.6811
138,smotenc,knn,isotonic,0.7373,0.6249,0.6059,0.6153,0.8039,0.496,0.0138,0.6811
139,smotecw,knn,isotonic,0.7373,0.6249,0.6059,0.6153,0.8039,0.496,0.0138,0.6811
140,smotencw,knn,isotonic,0.7373,0.6249,0.6059,0.6153,0.8039,0.496,0.0138,0.6811
141,smote,knn,platt,0.7384,0.5912,0.6154,0.6031,0.804,0.4992,0.0279,0.6648
142,smotenc,knn,platt,0.7384,0.5912,0.6154,0.6031,0.804,0.4992,0.0279,0.6648
143,smotecw,knn,platt,0.7384,0.5912,0.6154,0.6031,0.804,0.4992,0.0279,0.6648
144,smotencw,knn,platt,0.7384,0.5912,0.6154,0.6031,0.804,0.4992,0.0279,0.6648
